Name;Tenant;Environment;Application;Note
LMBB-AZT-BEH01;wld09;Production;management;
LMBB-AZT-CA01;wld09;Production;certificate-authority;
LMBB-AZS-CON1;wld09;Production;concentrators;
LMBB-AZS-CON2;wld09;Production;concentrators;
LMBB-AZT-CON1;wld09;Production;concentrators;
LMBB-AZT-CON2;wld09;Production;concentrators;
pup-w07-prtg-core;wld09;Production;concentrators;
LMBB-AZS-IV-DB1;wld09;Production;database-servers;
LMBB-AZT-IV-DB2;wld09;Production;database-servers;
LMBB-AZS-DC01;wld09;Production;app-domain-controllers;
LMBB-AZT-DC02;wld09;Production;domain-controllers;
LMBB-AZS-FS01;wld09;Production;domain-controllers;
LMBB-AZT-FS02;wld09;Production;file-servers;
LMBB-AZS-IV-LIC;wld09;Production;license-servers;
pupvsu0901;wld09;Production;logging;Crible
pupvsu0902;wld09;Production;logging;Crible
LMBB-AZS-PRTG;wld09;Production;monitoring;
LMBB-AZT-PRTG;wld09;Production;monitoring;
NVR-AZS-01-01;wld09;Production;nvr;
NVR-AZS-01-02;wld09;Production;nvr;
NVR-AZS-01-03;wld09;Production;nvr;
NVR-AZS-01-04;wld09;Production;nvr;
NVR-AZS-01-05;wld09;Production;nvr;
NVR-AZS-01-06;wld09;Production;nvr;
NVR-AZS-01-07;wld09;Production;nvr;
NVR-AZS-01-08;wld09;Production;nvr;
NVR-AZS-02-01-FO;wld09;Production;nvr;
NVR-AZS-02-02-FO;wld09;Production;nvr;
NVR-AZS-02-03-FO;wld09;Production;nvr;
NVR-AZS-02-04-FO;wld09;Production;nvr;
NVR-AZS-02-05-FO;wld09;Production;nvr;
NVR-AZS-02-06-FO;wld09;Production;nvr;
NVR-AZS-02-07-FO;wld09;Production;nvr;
NVR-AZS-02-08-FO;wld09;Production;nvr;
NVR-AZT-01-01-FO;wld09;Production;nvr;
NVR-AZT-01-02-FO;wld09;Production;nvr;
NVR-AZT-01-03-FO;wld09;Production;nvr;
NVR-AZT-01-04-FO;wld09;Production;nvr;
NVR-AZT-01-05-FO;wld09;Production;nvr;
NVR-AZT-01-06-FO;wld09;Production;nvr;
NVR-AZT-01-07-FO;wld09;Production;nvr;
NVR-AZT-01-08-FO;wld09;Production;nvr;
NVR-AZT-02-01;wld09;Production;nvr;
NVR-AZT-02-02 ;wld09;Production;nvr;
NVR-AZT-02-03;wld09;Production;nvr;
NVR-AZT-02-04;wld09;Production;nvr;
NVR-AZT-02-05;wld09;Production;nvr;
NVR-AZT-02-06;wld09;Production;nvr;
NVR-AZT-02-07;wld09;Production;nvr;
NVR-AZT-02-08;wld09;Production;nvr;
LMBB-ISS-01;wld09;Production;streaming-servers;
LMBB-ISS-02;wld09;Production;streaming-servers;
LMBB-ISS-03;wld09;Production;streaming-servers;
LMBB-ISS-04;wld09;Production;streaming-servers;
LMBB-ISS-05;wld09;Production;streaming-servers;
LMBB-ISS-06;wld09;Production;streaming-servers;
LMBB-ISS-07;wld09;Production;streaming-servers;
LMBB-ISS-08;wld09;Production;streaming-servers;
LMBB-AZS-PDQ;wld09;Production;wsus-servers;
LMBB-WSUS-01;wld09;Production;wsus-servers;
pupven0901;wld09;;;NSX Edge
pupven0902;wld09;;;NSX Edge
pupven0903;wld09;;;NSX Edge
pupven0904;wld09;;;NSX Edge
pupvsx0902;wld09;;;VMware HCIA
